"70BCSV 	",Prueba subir archivo 
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 ,
25,
CTRWL,1550
SPAN,200
START WL,1450
STOP WL,1650
WLFREQ,0
REFL,-59.9
LSCL,4
RESLN,0.2
AVG,1
SMPLAUTO,1
SMPL,5001
SMPLINTVL,0.04
HIGH2,
MEAS,
LSUNT,0
NMSKH,OFF
RESCOR,0
SMOOTH,0
FIBERTYPE,0
MEASWL,1
SWPSPD,0
RESPARM,9674
FREQPARM,9674
,
,
1483.04,-72.865
1483.08,-72.826
1483.12,-72.808
1483.16,-72.758
1483.2,-72.722
1483.24,-72.677
1483.28,-72.666
1483.32,-72.633
1483.36,-72.614
1483.4,-72.545
1483.44,-72.524
1483.48,-72.498
1483.52,-72.473
1483.56,-72.42
1483.6,-72.411
1483.64,-72.345
1483.68,-72.323
1483.72,-72.28
1483.76,-72.235
1483.8,-72.17
1483.84,-72.131
1483.88,-72.112
1483.92,-72.073
1483.96,-72.028
1484,-72.027
1484.04,-71.945
1484.08,-71.905
1484.12,-71.862
1484.16,-71.808
1484.2,-71.774
1484.24,-71.786
1484.28,-71.74
1484.32,-71.706
1484.36,-71.691
1484.4,-71.644
1484.44,-71.596
1484.48,-71.54
1484.52,-71.489
1484.56,-71.444
1484.6,-71.423
1484.64,-71.372
1484.68,-71.304
1484.72,-71.285
1484.76,-71.246
1484.8,-71.205
1484.84,-71.153
1484.88,-71.14
1484.92,-71.091
1484.96,-71.041
1485,-70.998
1485.04,-70.956
1485.08,-70.904
1485.12,-70.874
1485.16,-70.841
1485.2,-70.838
1485.24,-70.776
1485.28,-70.72
1485.32,-70.674
1485.36,-70.648
1485.4,-70.614
1485.44,-70.577
1485.48,-70.551
1485.52,-70.488
1485.56,-70.467
1485.6,-70.42
1485.64,-70.388
1485.68,-70.338
1485.72,-70.299
1485.76,-70.268
1485.8,-70.222
1485.84,-70.182
1485.88,-70.175
1485.92,-70.102
1485.96,-70.059
1486,-70.048
1486.04,-69.986
1486.08,-69.95
1486.12,-69.932
1486.16,-69.876
1486.2,-69.842
1486.24,-69.792
1486.28,-69.752
1486.32,-69.699
